Data,Descrição,Entrada de Dinheiro (R$),Entrada de bônus (R$),Saída de Dinheiro (R$),Saída de bônus (R$),Saldos em Dinheiro (R$)
13-abr-26 16:34:13,"Rodez x Troyes / 1,5 gols no primeiro tempo Ref: 17761088531397",424.26,--,--,--,"28,225.74"
13-abr-26 11:34:43,"FC Metaloglobus Bucuresti x Csikszereda / Mais/Menos de 1,5 Gols Ref: 17760908831396",345.06,--,--,--,"27,801.48"
12-abr-26 22:57:01,"Univ de Concepcion x Cobresal / Mais/Menos de 1,5 Gols Ref: 17760454211395",411.54,--,--,--,"27,456.42"
12-abr-26 20:00:26,"Fluminense x Flamengo / Mais/Menos de 3,5 Gols Ref: 17760348281394",373.35,--,--,--,"27,044.88"
12-abr-26 16:51:50,"Botafogo x Coritiba / 1,5 gols no primeiro tempo Ref: 17760235101393",4.32,--,--,--,"26,671.53"
12-abr-26 16:29:34,"Mainz x Freiburg / Mais/Menos de 1,5 Gols Ref: 17760221751392",390.32,--,--,--,"26,667.21"
12-abr-26 15:25:16,"Cádiz x Andorra / Mais/Menos de 1,5 Gols Ref: 17760183161391",379.45,--,--,--,"26,276.89"
12-abr-26 14:27:27,"Chelsea x Manchester City / Mais/Menos de 3,5 Gols Ref: 17760148461390",531.74,--,--,--,"25,897.44"
12-abr-26 14:20:46,"Anderlecht x Gent / 1,5 gols no primeiro tempo Ref: 17760144461389",520.43,--,--,--,"25,365.70"
12-abr-26 14:19:45,"Hajduk Split x HNK Gorica / 1,5 gols no primeiro tempo Ref: 17760143851388",520.43,--,--,--,"24,845.27"
12-abr-26 13:56:47,"Chelsea x Manchester City / Mais/Menos de 2,5 Gols Ref: 17760130071387",--,--,-600.00,--,"24,324.84"
12-abr-26 13:39:01,"Fredrikstad x Valerenga / Mais/Menos de 1,5 Gols Ref: 17760119411386",--,--,-600.00,--,"24,924.84"
12-abr-26 13:38:59,"Willem II x Almere City / Mais/Menos de 3,5 Gols Ref: 17760119391385",724.07,--,--,--,"25,524.84"
12-abr-26 13:17:45,"Alverca x Casa Pia / Mais/Menos de 3,5 Gols Ref: 17760106651384",--,--,-600.00,--,"24,800.77"
12-abr-26 13:03:47,"Huesca x Deportivo / Mais/Menos de 1,5 Gols Ref: 17760098261383",--,--,-600.00,--,"25,400.77"
12-abr-26 12:42:47,"Athletico-PR x Chapecoense / Mais/Menos de 1,5 Gols Ref: 17760085671382",--,--,-569.00,--,"26,000.77"
12-abr-26 12:03:30,"Sunderland x Tottenham / Mais/Menos de 1,5 Gols Ref: 17760062101381",565.68,--,--,--,"26,569.77"
12-abr-26 11:29:58,"NEC Nijmegen x Feyenoord / Mais/Menos de 1,5 Gols Ref: 17760041981380",--,--,-190.00,--,"26,004.09"
12-abr-26 10:30:00,"Yellow-Red Mechelen x Union St. Gilloise / Mais/Menos de 1,5 Gols Ref: 17760006001379",405.40,--,--,--,"26,194.09"
11-abr-26 22:29:29,"Ceará x Náutico / Mais/Menos de 1,5 Gols Ref: 17759573691378",461.07,--,--,--,"25,788.69"
11-abr-26 20:07:04,"Ponte Preta x Vila Nova / Mais/Menos de 1,5 Gols Ref: 17759488241377",345.06,--,--,--,"25,327.62"
11-abr-26 19:23:31,"Mirassol x Bahia / 1,5 gols no primeiro tempo Ref: 17759462111376",463.86,--,--,--,"24,982.56"
11-abr-26 18:44:55,"Remo x Vasco da Gama / Mais/Menos de 1,5 Gols Ref: 17759438951375",--,--,-600.00,--,"24,518.70"
11-abr-26 17:56:51,"Córdoba x Zaragoza / Mais/Menos de 1,5 Gols Ref: 17759410101374",316.83,--,--,--,"25,118.70"
11-abr-26 17:40:58,"Atalanta x Juventus / Mais/Menos de 1,5 Gols Ref: 17759400581373",551.42,--,--,--,"24,801.87"
11-abr-26 16:53:14,"Deportivo Riestra x Instituto / Mais/Menos de 1,5 Gols Ref: 17759371941372",395.98,--,--,--,"24,250.45"
11-abr-26 16:35:13,"Sint-Truidense x Brugge / 1,5 gols no primeiro tempo Ref: 17759361131371",603.34,--,--,--,"23,854.47"
11-abr-26 16:34:43,"CF Montreal x Philadelphia / 1,5 gols no primeiro tempo Ref: 17759360831370",363.15,--,--,--,"23,251.13"
11-abr-26 16:09:18,"Monza x Bari / Mais/Menos de 1,5 Gols Ref: 17759345581369",--,--,-600.00,--,"22,887.98"
11-abr-26 15:23:11,"Barcelona x Espanyol / Mais/Menos de 3,5 Gols Ref: 17759317911368",--,--,-600.00,--,"23,487.98"
11-abr-26 15:23:03,"Liverpool x Fulham / Mais/Menos de 2,5 Gols Ref: 17759317831367",871.15,--,--,--,"24,087.98"
11-abr-26 15:00:46,"Winterthur x Grasshoppers Zurich / Mais/Menos de 1,5 Gols Ref: 17759304461366",--,--,-626.33,--,"23,216.83"
11-abr-26 14:56:28,"FC Zurich x Lugano / Mais/Menos de 1,5 Gols Ref: 17759301881365",379.01,--,--,--,"23,843.16"
11-abr-26 14:52:38,"Slovacko x Hradec Kralove / Mais/Menos de 3,5 Gols Ref: 17759299571364",--,--,-600.00,--,"23,464.15"
11-abr-26 14:52:20,"Kayserispor x Fenerbahce / 0,5 gols no primeiro tempo Ref: 17759299391363",543.05,--,--,--,"24,064.15"
11-abr-26 14:15:24,"Calcio Avellino x Catanzaro / Mais/Menos de 1,5 Gols Ref: 17759277241362",--,--,-600.00,--,"23,521.10"
11-abr-26 14:03:40,"Standard x Westerlo / 1,5 gols no primeiro tempo Ref: 17759270201361",345.06,--,--,--,"24,121.10"
11-abr-26 13:21:32,"VVV-Venlo x De Graafschap / Mais/Menos de 3,5 Gols Ref: 17759244921360",--,--,-600.00,--,"23,776.04"
11-abr-26 12:50:41,"Burnley x Brighton / Mais/Menos de 1,5 Gols Ref: 17759226411359",--,--,-600.00,--,"24,376.04"
11-abr-26 11:59:00,"Torino x Verona / Mais/Menos de 3,5 Gols Ref: 17759195411358",412.95,--,--,--,"24,976.04"
11-abr-26 11:48:37,"Sheffield Utd x Hull / 1,5 gols no primeiro tempo Ref: 17759189171357",560.02,--,--,--,"24,563.09"
11-abr-26 11:02:02,"Real Sociedad x Alavés / Mais/Menos de 5,5 Gols Ref: 17759161211356",--,--,-600.00,--,"24,003.07"
10-abr-26 21:49:55,"OHiggins x Huachipato / 1,5 gols no primeiro tempo Ref: 17758685951355",457.57,--,--,--,"24,603.07"
10-abr-26 10:33:31,"Dalian Yingbo x Zhejiang Greentown / Mais/Menos de 3,5 Gols Ref: 17758280101354",382.49,--,--,--,"24,145.50"
10-abr-26 09:56:51,"Cusco x Flamengo / Mais/Menos de 1,5 Gols Ref: 17758258101353",--,--,-600.00,--,"23,763.01"
10-abr-26 09:55:31,"Cusco x Flamengo / Mais/Menos de 1,5 Gols Ref: 17758257311352",600.00,--,--,--,"24,363.01"
10-abr-26 08:26:31,"Central Coast Mariners x Brisbane Roar / Mais/Menos de 3,5 Gols Ref: 17758203911351",--,--,-600.00,--,"23,763.01"
09-abr-26 22:18:48,"Carabobo x Red Bull Bragantino / 1,5 gols no primeiro tempo Ref: 17757839271350",356.85,--,--,--,"24,363.01"
09-abr-26 16:45:55,"Bologna x Aston Villa / Mais/Menos de 0,5 Gols Ref: 17757639551349",,--,--,-50.00,"24,006.16"
09-abr-26 15:59:54,"Estrela Vermelha x FK Spartak / Mais/Menos de 5,5 Gols Ref: 17757611941348",756.97,--,--,--,"24,006.16"
09-abr-26 15:34:36,"Al-Ettifaq x Al Riyadh SC / 1,5 gols no primeiro tempo Ref: 17757596751347",--,--,-600.00,--,"23,249.19"
09-abr-26 13:58:07,"FK Novi Pazar x Partizan Belgrade / Mais/Menos de 5,5 Gols Ref: 17757538881345",468.90,--,--,--,"23,849.19"
09-abr-26 13:35:40,"Dhamk x Al-Quadisiya (KSA) / 0,5 gols no primeiro tempo Ref: 17757525401344",515.82,--,--,--,"23,380.29"
09-abr-26 12:52:30,"Boluspor x Sivasspor / Mais/Menos de 3,5 Gols Ref: 17757499501343",472.47,--,--,--,"22,864.47"
09-abr-26 12:49:29,"FK Novi Pazar x Partizan Belgrade / 1,5 gols no primeiro tempo Ref: 17757497681342",--,--,-600.00,--,"22,392.00"
09-abr-26 12:48:23,"Jamshedpur FC x Mumbai City FC / Mais/Menos de 1,5 Gols Ref: 17757497021341",--,--,-600.00,--,"22,992.00"
09-abr-26 12:04:40,Exchange Bonus Awarded: BREXCSELECT Ref: 17757470801340,,50.00,--,--,"23,592.00"
08-abr-26 23:22:50,"Cusco x Flamengo / Mais/Menos de 1,5 Gols Ref: 17757013701339",--,--,-600.00,--,"23,592.00"
08-abr-26 22:22:24,"Junior Barranquilla x Palmeiras / 1,5 gols no primeiro tempo Ref: 17756977441338",531.01,--,--,--,"24,192.00"
08-abr-26 21:35:50,"Audax Italiano x Olimpia / 1,5 gols no primeiro tempo Ref: 17756949491337",--,--,-600.00,--,"23,660.99"
08-abr-26 20:57:17,"Coquimbo Unido x Nacional (Uru) / Mais/Menos de 1,5 Gols Ref: 17756926371336",--,--,-600.00,--,"24,260.99"
08-abr-26 19:50:26,"Coquimbo Unido x Nacional (Uru) / 1,5 gols no primeiro tempo Ref: 17756886261335",418.03,--,--,--,"24,860.99"
08-abr-26 12:56:06,"76 Igdir Belediyespor x Keciorengucu / Mais/Menos de 1,5 Gols Ref: 17756637661334",457.57,--,--,--,"24,442.96"
